Horizon,Model,ROC-AUC,PR-AUC,F1-Score,Optimal Threshold,Brier Score
3M,Probit Baseline,0.8147935779816513,0.5272097025358329,0.5116279069767442,0.38999999999999996,0.07368744729314457
3M,Logistic Regression,0.8782492354740061,0.4176500893342526,0.49122807017543857,0.26999999999999996,0.07899421957645363
3M,Random Forest,0.9178134556574924,0.654452367066986,0.7755102040816326,0.31999999999999995,0.05826002568982815
3M,XGBoost,0.8169915902140673,0.3817400615311214,0.4583333333333333,0.24999999999999994,0.07952909043049017
3M,LightGBM,0.8037079510703363,0.36590829452758433,0.45614035087719296,0.19999999999999996,0.08143024616220051
3M,Stacked Ensemble,0.8339067278287462,0.45243531801625975,0.5128205128205128,0.3499999999999999,0.06964623413441011
6M,Probit Baseline,0.7644338118022328,0.3332679120258054,0.3793103448275862,0.3,0.11693488423227642
6M,Logistic Regression,0.8098883572567783,0.34697163669577646,0.425,0.32999999999999996,0.13363486116752615
6M,Random Forest,0.7496012759170654,0.3299664652031357,0.37209302325581395,0.26999999999999996,0.11152929241247528
6M,XGBoost,0.6465709728867622,0.3828881529110404,0.4,0.7,0.12656434468747682
6M,LightGBM,0.6552631578947369,0.39054906053085087,0.46511627906976744,0.6399999999999999,0.11200595656834512
6M,Stacked Ensemble,0.6853269537480065,0.29917075160973,0.41975308641975306,0.19,0.118698883288174
12M,Probit Baseline,0.7475691847419597,0.3035331364124474,0.5161290322580645,0.4699999999999999,0.19502414974985716
12M,Logistic Regression,0.7589129892794815,0.3052526065583,0.5692307692307692,0.22999999999999998,0.20607538749094859
12M,Random Forest,0.706930939915233,0.26824396430319253,0.4507042253521127,0.24999999999999994,0.170791342038096
12M,XGBoost,0.6602468212415855,0.344523917350999,0.46715328467153283,0.08,0.15664607803078376
12M,LightGBM,0.7305534779356768,0.35968392985447356,0.4835164835164835,0.37999999999999995,0.14488326589160935
12M,Stacked Ensemble,0.7337322363500373,0.3122370214534529,0.556390977443609,0.12,0.1855386901484952
